date;day;month;year;total_day
04/01/2022;Tuesday;1;2022;17800
09/01/2022;Sunday;1;2022;41500
15/01/2022;Saturday;1;2022;13000
20/01/2022;Thursday;1;2022;25500
25/01/2022;Tuesday;1;2022;11600
30/01/2022;Sunday;1;2022;10500
05/01/2022;Wednesday;1;2022;14400
10/01/2022;Monday;1;2022;19500
16/01/2022;Sunday;1;2022;6500
22/01/2022;Saturday;1;2022;3000
26/01/2022;Wednesday;1;2022;18700
31/01/2022;Monday;1;2022;12500
02/01/2022;Sunday;1;2022;8500
06/01/2022;Thursday;1;2022;35000
11/01/2022;Tuesday;1;2022;15500
17/01/2022;Monday;1;2022;27600
23/01/2022;Sunday;1;2022;19200
27/01/2022;Thursday;1;2022;24200
03/01/2022;Monday;1;2022;16000
08/01/2022;Saturday;1;2022;4500
13/01/2022;Thursday;1;2022;14000
18/01/2022;Tuesday;1;2022;63500
24/01/2022;Monday;1;2022;40400
29/01/2022;Saturday;1;2022;3000
03/02/2022;Thursday;2;2022;3000
08/02/2022;Tuesday;2;2022;126000
13/02/2022;Sunday;2;2022;19000
17/02/2022;Thursday;2;2022;3000
22/02/2022;Tuesday;2;2022;4500
05/02/2022;Saturday;2;2022;19000
09/02/2022;Wednesday;2;2022;5500
14/02/2022;Monday;2;2022;180900
19/02/2022;Saturday;2;2022;15800
23/02/2022;Wednesday;2;2022;21500
01/02/2022;Tuesday;2;2022;23200
06/02/2022;Sunday;2;2022;14300
10/02/2022;Thursday;2;2022;20500
15/02/2022;Tuesday;2;2022;74700
20/02/2022;Sunday;2;2022;26400
24/02/2022;Thursday;2;2022;15000
02/02/2022;Wednesday;2;2022;21500
07/02/2022;Monday;2;2022;40000
12/02/2022;Saturday;2;2022;5000
16/02/2022;Wednesday;2;2022;9300
21/02/2022;Monday;2;2022;18400
28/10/2021;Thursday;10;2021;4500
24/10/2021;Sunday;10;2021;15500
04/10/2021;Monday;10;2021;6000
09/10/2021;Saturday;10;2021;5000
13/10/2021;Wednesday;10;2021;1500
27/10/2021;Wednesday;10;2021;24400
23/10/2021;Saturday;10;2021;184800
06/10/2021;Wednesday;10;2021;59400
10/10/2021;Sunday;10;2021;22500
31/10/2021;Sunday;10;2021;25900
26/10/2021;Tuesday;10;2021;14000
02/10/2021;Saturday;10;2021;11800
05/10/2021;Tuesday;10;2021;39500
11/10/2021;Monday;10;2021;33900
30/10/2021;Saturday;10;2021;36500
25/10/2021;Monday;10;2021;49000
03/10/2021;Sunday;10;2021;12100
07/10/2021;Thursday;10;2021;19500
12/10/2021;Tuesday;10;2021;28300
16/11/2021;Tuesday;11;2021;26700
11/11/2021;Thursday;11;2021;89700
07/11/2021;Sunday;11;2021;12000
02/11/2021;Tuesday;11;2021;64000
29/11/2021;Monday;11;2021;21400
15/11/2021;Monday;11;2021;3000
10/11/2021;Wednesday;11;2021;54500
06/11/2021;Saturday;11;2021;10300
01/11/2021;Monday;11;2021;2500
24/11/2021;Wednesday;11;2021;171700
30/11/2021;Tuesday;11;2021;36800
14/11/2021;Sunday;11;2021;7500
09/11/2021;Tuesday;11;2021;14100
04/11/2021;Thursday;11;2021;20500
25/11/2021;Thursday;11;2021;54700
13/11/2021;Saturday;11;2021;7000
08/11/2021;Monday;11;2021;37500
03/11/2021;Wednesday;11;2021;2500
28/11/2021;Sunday;11;2021;38600
05/12/2021;Sunday;12;2021;26000
09/12/2021;Thursday;12;2021;39700
14/12/2021;Tuesday;12;2021;22900
20/12/2021;Monday;12;2021;26800
25/12/2021;Saturday;12;2021;10100
29/12/2021;Wednesday;12;2021;14000
06/12/2021;Monday;12;2021;30700
11/12/2021;Saturday;12;2021;22500
15/12/2021;Wednesday;12;2021;9500
21/12/2021;Tuesday;12;2021;12500
26/12/2021;Sunday;12;2021;12400
30/12/2021;Thursday;12;2021;28700
01/12/2021;Wednesday;12;2021;34600
07/12/2021;Tuesday;12;2021;25000
12/12/2021;Sunday;12;2021;34000
16/12/2021;Thursday;12;2021;15000
22/12/2021;Wednesday;12;2021;28300
27/12/2021;Monday;12;2021;55400
02/12/2021;Thursday;12;2021;32000
08/12/2021;Wednesday;12;2021;16000
13/12/2021;Monday;12;2021;44000
19/12/2021;Sunday;12;2021;16400
23/12/2021;Thursday;12;2021;17700
28/12/2021;Tuesday;12;2021;10100
